CNPJ_CIA;DENOM_CIA;DT_REFER;CD_CVM;ID_DOC;VERSAO;stock.type;stock.class;qtd.issued
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2011-01-01;21920;16823;3;ON;0;322004
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2011-01-01;21920;16823;3;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2012-01-01;21920;26399;6;ON;0;322004
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2012-01-01;21920;26399;6;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2013-01-01;21920;33607;7;ON;0;707004
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2013-01-01;21920;33607;7;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2014-01-01;21920;43235;15;ON;0;1.35e+09
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2014-01-01;21920;43235;15;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2016-01-01;21920;59423;10;ON;0;1.35e+09
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2016-01-01;21920;59423;10;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2017-01-01;21920;70590;8;ON;0;1.35e+09
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2017-01-01;21920;70590;8;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2018-01-01;21920;83867;7;ON;0;1.35e+09
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2018-01-01;21920;83867;7;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2019-01-01;21920;90230;8;ON;0;1.35e+09
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2019-01-01;21920;90230;8;PN;0;0
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2020-01-01;21920;93454;5;ON;0;1.35e+09
10.608.405/0001-60;BARIGUI SECURITIZADORA S.A.;2020-01-01;21920;93454;5;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2010-01-01;21938;1894;2;ON;0;619889
09.095.183/0001-40;ENERGISA PARA;2010-01-01;21938;1894;2;PN;1;298902
09.095.183/0001-40;ENERGISA PARA;2010-01-01;21938;1894;2;PN;2;147
09.095.183/0001-40;ENERGISA PARA;2011-01-01;21938;16702;2;ON;0;619889
09.095.183/0001-40;ENERGISA PARA;2011-01-01;21938;16702;2;PN;1;298902
09.095.183/0001-40;ENERGISA PARA;2011-01-01;21938;16702;2;PN;2;147
09.095.183/0001-40;ENERGISA PARA;2012-01-01;21938;27992;4;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2012-01-01;21938;27992;4;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2013-01-01;21938;36522;4;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2013-01-01;21938;36522;4;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2014-01-01;21938;46569;3;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2014-01-01;21938;46569;3;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2015-01-01;21938;55473;2;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2015-01-01;21938;55473;2;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2016-01-01;21938;63989;4;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2016-01-01;21938;63989;4;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2017-01-01;21938;72496;3;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2017-01-01;21938;72496;3;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2018-01-01;21938;83274;4;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2018-01-01;21938;83274;4;PN;0;0
09.095.183/0001-40;ENERGISA PARA;2019-01-01;21938;86777;3;ON;0;918160
09.095.183/0001-40;ENERGISA PARA;2019-01-01;21938;86777;3;PN;0;0
11.094.546/0001-75;MULTIPLUS S.A.;2010-01-01;21946;4189;2;ON;0;161294000
11.094.546/0001-75;MULTIPLUS S.A.;2010-01-01;21946;4189;2;PN;0;0
11.094.546/0001-75;MULTIPLUS S.A.;2011-01-01;21946;16708;9;ON;0;161294000
11.094.546/0001-75;MULTIPLUS S.A.;2011-01-01;21946;16708;9;PN;0;0
